ticker,count,pct
NVDA,304,12.6
SPY,265,11.0
GOOGL,250,10.4
META,216,8.9
AAPL,160,6.6
SOXX,146,6.0
MSFT,139,5.8
USO,128,5.3
AMZN,115,4.8
XLF,111,4.6
TSLA,105,4.3
XLV,98,4.1
INTC,90,3.7
DRIV,88,3.6
SKYY,73,3.0
BOTZ,55,2.3
TLT,41,1.7
UUP,29,1.2
XLK,1,0.0
