sector_etf,stock,sector_name,r,p,n_days,significant
SOXX,NVDA,Semiconductor,0.33,0.3522,10,No
SOXX,INTC,Semiconductor,0.157,0.6643,10,No
BOTZ,NVDA,AI/Robotics,0.207,0.5666,10,No
DRIV,TSLA,EV,0.399,0.2537,10,No
SPY,NVDA,S&P500,0.093,0.8111,9,No
SPY,AAPL,S&P500,0.062,0.8731,9,No
SPY,MSFT,S&P500,0.136,0.7481,8,No
SPY,META,S&P500,0.041,0.9163,9,No
SPY,TSLA,S&P500,-0.078,0.8422,9,No
SPY,AMZN,S&P500,0.104,0.7905,9,No
SPY,GOOGL,S&P500,0.259,0.5012,9,No
SPY,INTC,S&P500,0.111,0.7761,9,No
