date,macro_sentiment,avg_stock_change,macro_signal
2026-03-14,2.2609,1.4972,neutral
2026-03-17,2.0161,-1.1035,neutral
2026-03-19,2.1538,-2.5765,neutral
2026-03-20,2.7711,1.3598,neutral
2026-03-21,3.5833,1.5071,neutral
2026-03-23,3.0256,-1.0828,neutral
2026-03-24,3.3077,1.3419,neutral
2026-03-26,3.5614,-1.6718,neutral
2026-03-27,2.678,-0.4166,neutral
2026-03-28,3.0714,-0.3654,neutral
