ticker,count,pct
META,1026,11.7
NVDA,928,10.6
SPY,845,9.6
AAPL,681,7.8
MSFT,598,6.8
GOOGL,483,5.5
USO,458,5.2
AMZN,448,5.1
TSLA,442,5.0
XLV,395,4.5
SOXX,374,4.3
TLT,371,4.2
INTC,325,3.7
AMD,325,3.7
XLF,307,3.5
DRIV,240,2.7
SKYY,240,2.7
UUP,201,2.3
BOTZ,49,0.6
XLK,37,0.4
