ticker,count,mean,std,min,max
AAPL,104,3.44,1.02,2.0,5.0
AMZN,56,3.64,0.98,2.0,5.0
BOTZ,9,2.67,0.5,2.0,3.0
DRIV,35,3.34,1.14,2.0,5.0
GOOGL,58,3.28,0.99,2.0,5.0
INTC,22,3.18,1.05,2.0,5.0
META,150,3.02,1.05,2.0,5.0
MSFT,70,3.4,0.79,2.0,5.0
NVDA,154,3.57,1.15,2.0,5.0
SKYY,3,3.0,0.0,3.0,3.0
SOXX,58,3.19,0.8,2.0,5.0
SPY,50,2.88,0.52,2.0,5.0
TLT,18,3.0,0.77,2.0,5.0
TSLA,36,3.36,1.07,2.0,5.0
USO,77,3.91,1.24,2.0,5.0
UUP,8,3.0,1.2,2.0,5.0
XLF,49,2.94,0.69,2.0,5.0
XLK,1,3.0,,3.0,3.0
XLV,10,3.3,0.82,2.0,5.0
