ticker,count,pct
NVDA,154,15.9
META,150,15.5
AAPL,104,10.7
USO,77,8.0
MSFT,70,7.2
SOXX,58,6.0
GOOGL,58,6.0
AMZN,56,5.8
SPY,50,5.2
XLF,49,5.1
TSLA,36,3.7
DRIV,35,3.6
INTC,22,2.3
TLT,18,1.9
XLV,10,1.0
BOTZ,9,0.9
UUP,8,0.8
SKYY,3,0.3
XLK,1,0.1
